artist_name,track_name,popularity,track_id,track_uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,genre,genre_label
Apink,Dumhdurum,71,55kuHkT2CWhWKF6CoRDnJq,spotify:track:55kuHkT2CWhWKF6CoRDnJq,0.653,0.9229999999999999,-2.1630000000000003,0.0621,0.145,0.0,0.13699999999999998,0.6920000000000001,114.902,208053,kpop,4
EXO,Obsession,74,7fK0csBoqbcgUuWGV0cpoD,spotify:track:7fK0csBoqbcgUuWGV0cpoD,0.7040000000000001,0.7290000000000001,-3.8510000000000004,0.0624,0.0024,0.0,0.218,0.71,129.99200000000002,203520,kpop,4
BTS,Pied Piper,73,0ffweDHrg4bZqdG4IfGYuo,spotify:track:0ffweDHrg4bZqdG4IfGYuo,0.583,0.7120000000000001,-4.942,0.0326,0.2,0.0,0.268,0.7759999999999999,94.051,245621,kpop,4
ITZY,달라달라 (DALLA DALLA),75,0GU5GuJQQEnnREO2FxnVPT,spotify:track:0GU5GuJQQEnnREO2FxnVPT,0.79,0.853,-4.564,0.0665,0.00116,4.23e-05,0.32899999999999996,0.713,124.99799999999999,199874,kpop,4
iKON,LOVE SCENARIO,74,6qAzAmPBUpGrk7XADZHR5k,spotify:track:6qAzAmPBUpGrk7XADZHR5k,0.8059999999999999,0.7070000000000001,-4.623,0.0307,0.331,0.0,0.294,0.746,118.01100000000001,209648,kpop,4
BTS,Save Me,73,54s6sdPuMjVtdB5d5KFzTC,spotify:track:54s6sdPuMjVtdB5d5KFzTC,0.614,0.823,-3.48,0.062,0.0269,0.0,0.0783,0.539,139.94799999999998,196506,kpop,4
BLACKPINK,As If It's Your Last,75,1Zyd6zQnC6XIIzmg3hP7Ot,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot,0.7859999999999999,0.853,-2.687,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,213264,kpop,4
BTS,Lie,71,2cn8rNlgnQOJoqWqXRvWQu,spotify:track:2cn8rNlgnQOJoqWqXRvWQu,0.542,0.777,-5.582000000000001,0.033,0.00331,0.0,0.17800000000000002,0.503,94.069,215753,kpop,4
BTS,Burning Up (Fire),73,4z9gBZQjGS4QLb4LOvmeuA,spotify:track:4z9gBZQjGS4QLb4LOvmeuA,0.627,0.706,-3.201,0.0597,0.00227,0.0,0.122,0.536,99.93,203352,kpop,4
BTS,Boy With Luv (feat. Halsey),84,5KawlOMHjWeUjQtnuRs22c,spotify:track:5KawlOMHjWeUjQtnuRs22c,0.645,0.862,-4.757,0.0965,0.0923,0.0,0.192,0.7979999999999999,119.991,229773,kpop,4
BTS,Filter,82,0ono6UCNVZ1XqOm6j78Blu,spotify:track:0ono6UCNVZ1XqOm6j78Blu,0.7809999999999999,0.762,-5.188,0.0626,0.0222,0.0,0.121,0.86,110.042,180221,kpop,4
BTS,My Time,81,4vTgx6h4seHvkuFh84JXYP,spotify:track:4vTgx6h4seHvkuFh84JXYP,0.674,0.64,-5.138999999999999,0.0339,0.151,0.0,0.0925,0.664,99.90799999999999,234458,kpop,4
BTS,ON (Feat. Sia),81,3IB5qOeMayvpOdHxYCL5tZ,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,0.591,0.848,-4.397,0.0828,0.13699999999999998,0.0,0.37200000000000005,0.386,105.92200000000001,246816,kpop,4
ITZY,WANNABE,85,6tCssnvTUREcperDOUTqvA,spotify:track:6tCssnvTUREcperDOUTqvA,0.809,0.9109999999999999,-4.41,0.0617,0.00795,0.00017900000000000001,0.18100000000000002,0.64,122.035,191242,kpop,4
BTS,UGH!,79,1aKuG1GG76xPLUkjBbQo3W,spotify:track:1aKuG1GG76xPLUkjBbQo3W,0.72,0.8240000000000001,-5.086,0.128,0.0394,0.0,0.0509,0.33299999999999996,165.998,225012,kpop,4
BTS,Louder than bombs,79,3op7HNwLli54MBjFGzIlZO,spotify:track:3op7HNwLli54MBjFGzIlZO,0.643,0.667,-6.992999999999999,0.152,0.0433,0.0,0.0904,0.485,145.999,217404,kpop,4
BTS,We are Bulletproof : the Eternal,79,44WLOqH7QayQOQdeUHeKUK,spotify:track:44WLOqH7QayQOQdeUHeKUK,0.526,0.575,-5.215,0.0309,0.225,0.0,0.10800000000000001,0.19,84.04700000000001,261543,kpop,4
BTS,00:00 (Zero O’Clock),79,4AlihYDqxXshKhvh5tnMfP,spotify:track:4AlihYDqxXshKhvh5tnMfP,0.5660000000000001,0.5479999999999999,-6.456,0.0579,0.0802,0.0,0.11,0.196,157.999,250296,kpop,4
BTS,Inner Child,78,4BKOjYosPhw334moS3wlbO,spotify:track:4BKOjYosPhw334moS3wlbO,0.589,0.696,-7.981,0.0725,0.017,0.0,0.0808,0.332,134.953,233266,kpop,4
BLACKPINK,Kill This Love,78,18PergoIrGmRyeYxnaXJN2,spotify:track:18PergoIrGmRyeYxnaXJN2,0.738,0.861,-4.141,0.237,0.32,0.00175,0.325,0.58,131.974,189052,kpop,4
BTS,Black Swan,80,24NuEDgyRIljwSyY0lsr7b,spotify:track:24NuEDgyRIljwSyY0lsr7b,0.7190000000000001,0.758,-5.167000000000001,0.0851,0.13699999999999998,0.0,0.129,0.49,147.023,198261,kpop,4
BTS,Friends,78,7w05lsU2VLSeiT8Nukrv5M,spotify:track:7w05lsU2VLSeiT8Nukrv5M,0.55,0.747,-5.211,0.0407,0.0668,0.0,0.0536,0.648,79.98,199339,kpop,4
BTS,Black Swan,78,3bkkMZEAhx7rTVz1C0itRQ,spotify:track:3bkkMZEAhx7rTVz1C0itRQ,0.7190000000000001,0.758,-5.167000000000001,0.0851,0.13699999999999998,0.0,0.129,0.49,147.023,198261,kpop,4
BTS,Make It Right (feat. Lauv),78,314ZkcV7oLWG8yWE7LABvH,spotify:track:314ZkcV7oLWG8yWE7LABvH,0.584,0.685,-7.811,0.425,0.0304,0.0,0.18899999999999997,0.345,97.551,226321,kpop,4
Red Velvet,Psycho,82,3CYH422oy1cZNoo0GTG1TK,spotify:track:3CYH422oy1cZNoo0GTG1TK,0.664,0.6659999999999999,-2.2030000000000003,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,kpop,4
BTS,Moon,77,1xfXXujIlLZAx5wpu46Nyk,spotify:track:1xfXXujIlLZAx5wpu46Nyk,0.703,0.6459999999999999,-6.6579999999999995,0.0596,0.0104,0.0,0.191,0.64,141.87,208590,kpop,4
BTS,Interlude : Shadow,77,2Nib4r0saYQf2pUV4RFDhl,spotify:track:2Nib4r0saYQf2pUV4RFDhl,0.385,0.7979999999999999,-6.439,0.483,0.115,0.0,0.18100000000000002,0.141,149.756,259821,kpop,4
BTS,Outro : Ego,77,3r9FFjLrAIQjoR8pSHVPC9,spotify:track:3r9FFjLrAIQjoR8pSHVPC9,0.8079999999999999,0.903,-3.1060000000000003,0.0958,0.0121,0.000233,0.0993,0.473,116.988,196199,kpop,4
BTS,Euphoria,77,3p6hnejEQYXkiTO1lAzVc0,spotify:track:3p6hnejEQYXkiTO1lAzVc0,0.637,0.799,-4.519,0.0338,0.39399999999999996,0.0,0.0921,0.562,104.995,228615,kpop,4
BLACKPINK,DDU-DU DDU-DU,75,2aI2k39nfa3KFsa4JclQzw,spotify:track:2aI2k39nfa3KFsa4JclQzw,0.6709999999999999,0.8590000000000001,-3.9219999999999997,0.0833,0.0323,0.0,0.267,0.389,139.931,209355,kpop,4
(G)I-DLE,Oh my god,79,2DmRXiyn03tOqKgEJXlaiJ,spotify:track:2DmRXiyn03tOqKgEJXlaiJ,0.794,0.762,-3.525,0.0392,0.0358,1.41e-06,0.191,0.48200000000000004,109.97,195867,kpop,4
TWICE,Feel Special,77,2HtcPHFdo7eu4Ilbvb0BVI,spotify:track:2HtcPHFdo7eu4Ilbvb0BVI,0.7090000000000001,0.9590000000000001,-1.339,0.0603,0.0296,0.0018800000000000002,0.107,0.644,128.983,206867,kpop,4
TWICE,FANCY,77,0W5hTAWn8Tq0Qfhg1XP3YW,spotify:track:0W5hTAWn8Tq0Qfhg1XP3YW,0.6970000000000001,0.8740000000000001,-2.15,0.045,0.0122,0.0,0.627,0.775,132.02200000000002,213880,kpop,4
BTS,Respect,74,37TSJmYKLxXmx8OehFpqMN,spotify:track:37TSJmYKLxXmx8OehFpqMN,0.6609999999999999,0.84,-4.805,0.11599999999999999,0.00485,0.0,0.287,0.524,91.45700000000001,237540,kpop,4
Mamamoo,HIP,77,24nK8tW7Pt3Inh2utttuoG,spotify:track:24nK8tW7Pt3Inh2utttuoG,0.782,0.731,-4.581,0.14300000000000002,0.0376,3.15e-05,0.0956,0.8240000000000001,138.032,195307,kpop,4
EVERGLOW,DUN DUN,78,3CyCjgTHFzqucmECajq8QA,spotify:track:3CyCjgTHFzqucmECajq8QA,0.6920000000000001,0.8809999999999999,-2.563,0.0461,0.0457,4.26e-06,0.146,0.433,103.055,192280,kpop,4
ZICO,Any song,80,1iIhGHzzrzqQfuNkFI2qAn,spotify:track:1iIhGHzzrzqQfuNkFI2qAn,0.8740000000000001,0.787,-2.416,0.129,0.11800000000000001,0.0,0.11,0.8959999999999999,108.007,227227,kpop,4
BTS,Spring Day,75,0WNGsQ1oAuHzNTk8jivBKW,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,0.539,0.846,-3.1919999999999997,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,274097,kpop,4
BTS,Serendipity (Full Length Edition),73,5cQB9fbuQCz4muQUFkv3rR,spotify:track:5cQB9fbuQCz4muQUFkv3rR,0.34700000000000003,0.578,-7.525,0.0626,0.445,0.0,0.231,0.226,86.73,276708,kpop,4
NCT 127,Kick It,72,1ayaOin9hxCtyhg4UsBTpg,spotify:track:1ayaOin9hxCtyhg4UsBTpg,0.6809999999999999,0.847,-2.4619999999999997,0.0869,0.0306,0.0,0.0808,0.507,167.03099999999998,233013,kpop,4
BTS,Blood Sweat & Tears,75,5RGf8qn1TBWVplLyyKUsuV,spotify:track:5RGf8qn1TBWVplLyyKUsuV,0.583,0.885,-3.571,0.106,0.0244,0.0,0.35700000000000004,0.601,92.959,217052,kpop,4
GOT7,NOT BY THE MOON,76,1pmfd0ohjfh1qXPWvjaC1o,spotify:track:1pmfd0ohjfh1qXPWvjaC1o,0.5489999999999999,0.813,-4.828,0.14800000000000002,0.0556,4.44e-06,0.207,0.544,151.813,204702,kpop,4
BTS,IDOL,75,2AIWoHr9DF6y4KALCBKWQS,spotify:track:2AIWoHr9DF6y4KALCBKWQS,0.7340000000000001,0.855,-3.2110000000000003,0.11800000000000001,0.00481,0.0,0.12300000000000001,0.42200000000000004,126.035,222732,kpop,4
BTS,Mikrokosmos,74,5hnbE5BF2e8BCk9OMR1UVC,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,0.58,0.858,-5.212000000000001,0.114,0.125,0.0,0.0502,0.475,174.03900000000002,224225,kpop,4
BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],75,75scDPqGs75FotglJSoOI2,spotify:track:75scDPqGs75FotglJSoOI2,0.606,0.848,-3.952,0.184,0.0114,1.06e-06,0.20600000000000002,0.54,170.01,307676,kpop,4
BTS,HOME,74,7lthOBXNue2IvedLRfkod8,spotify:track:7lthOBXNue2IvedLRfkod8,0.633,0.799,-4.625,0.0429,0.0142,0.0,0.19399999999999998,0.535,142.991,234178,kpop,4
K/DA,POP/STARS,75,5sbooPcNgIE22DwO0VNGUJ,spotify:track:5sbooPcNgIE22DwO0VNGUJ,0.5660000000000001,0.769,-4.342,0.0872,0.0183,0.0,0.10800000000000001,0.385,170.03599999999997,191100,kpop,4
JENNIE,SOLO,72,2wVDWtLKXunswWecARNILj,spotify:track:2wVDWtLKXunswWecARNILj,0.7509999999999999,0.642,-5.165,0.087,0.0861,0.0,0.0953,0.38799999999999996,95.045,169567,kpop,4
BTS,FAKE LOVE,74,3aW0ds4A4tSQDIp75FqWTo,spotify:track:3aW0ds4A4tSQDIp75FqWTo,0.557,0.7190000000000001,-4.515,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,kpop,4
Apink,Dumhdurum,71,55kuHkT2CWhWKF6CoRDnJq,spotify:track:55kuHkT2CWhWKF6CoRDnJq,0.653,0.9229999999999999,-2.1630000000000003,0.0621,0.145,0.0,0.13699999999999998,0.6920000000000001,114.902,208053,kpop,4
EXO,Obsession,74,7fK0csBoqbcgUuWGV0cpoD,spotify:track:7fK0csBoqbcgUuWGV0cpoD,0.7040000000000001,0.7290000000000001,-3.8510000000000004,0.0624,0.0024,0.0,0.218,0.71,129.99200000000002,203520,kpop,4
BTS,Pied Piper,73,0ffweDHrg4bZqdG4IfGYuo,spotify:track:0ffweDHrg4bZqdG4IfGYuo,0.583,0.7120000000000001,-4.942,0.0326,0.2,0.0,0.268,0.7759999999999999,94.051,245621,kpop,4
ITZY,달라달라 (DALLA DALLA),75,0GU5GuJQQEnnREO2FxnVPT,spotify:track:0GU5GuJQQEnnREO2FxnVPT,0.79,0.853,-4.564,0.0665,0.00116,4.23e-05,0.32899999999999996,0.713,124.99799999999999,199874,kpop,4
iKON,LOVE SCENARIO,74,6qAzAmPBUpGrk7XADZHR5k,spotify:track:6qAzAmPBUpGrk7XADZHR5k,0.8059999999999999,0.7070000000000001,-4.623,0.0307,0.331,0.0,0.294,0.746,118.01100000000001,209648,kpop,4
BTS,Save Me,73,54s6sdPuMjVtdB5d5KFzTC,spotify:track:54s6sdPuMjVtdB5d5KFzTC,0.614,0.823,-3.48,0.062,0.0269,0.0,0.0783,0.539,139.94799999999998,196506,kpop,4
BLACKPINK,As If It's Your Last,75,1Zyd6zQnC6XIIzmg3hP7Ot,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot,0.7859999999999999,0.853,-2.687,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,213264,kpop,4
BTS,Lie,71,2cn8rNlgnQOJoqWqXRvWQu,spotify:track:2cn8rNlgnQOJoqWqXRvWQu,0.542,0.777,-5.582000000000001,0.033,0.00331,0.0,0.17800000000000002,0.503,94.069,215753,kpop,4
BTS,Burning Up (Fire),73,4z9gBZQjGS4QLb4LOvmeuA,spotify:track:4z9gBZQjGS4QLb4LOvmeuA,0.627,0.706,-3.201,0.0597,0.00227,0.0,0.122,0.536,99.93,203352,kpop,4
j-hope,Chicken Noodle Soup (feat. Becky G),73,6wyr4ReB05D9sJB1Rsmcqo,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,0.826,0.8170000000000001,-4.081,0.0921,0.00502,1.09e-05,0.294,0.168,97.053,235497,kpop,4
BTS,Filter,82,0ono6UCNVZ1XqOm6j78Blu,spotify:track:0ono6UCNVZ1XqOm6j78Blu,0.7809999999999999,0.762,-5.188,0.0626,0.0222,0.0,0.121,0.86,110.042,180221,kpop,4
BTS,My Time,81,4vTgx6h4seHvkuFh84JXYP,spotify:track:4vTgx6h4seHvkuFh84JXYP,0.674,0.64,-5.138999999999999,0.0339,0.151,0.0,0.0925,0.664,99.90799999999999,234458,kpop,4
BTS,ON (Feat. Sia),81,3IB5qOeMayvpOdHxYCL5tZ,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,0.591,0.848,-4.397,0.0828,0.13699999999999998,0.0,0.37200000000000005,0.386,105.92200000000001,246816,kpop,4
ITZY,WANNABE,85,6tCssnvTUREcperDOUTqvA,spotify:track:6tCssnvTUREcperDOUTqvA,0.809,0.9109999999999999,-4.41,0.0617,0.00795,0.00017900000000000001,0.18100000000000002,0.64,122.035,191242,kpop,4
BTS,UGH!,79,1aKuG1GG76xPLUkjBbQo3W,spotify:track:1aKuG1GG76xPLUkjBbQo3W,0.72,0.8240000000000001,-5.086,0.128,0.0394,0.0,0.0509,0.33299999999999996,165.998,225012,kpop,4
BTS,Louder than bombs,79,3op7HNwLli54MBjFGzIlZO,spotify:track:3op7HNwLli54MBjFGzIlZO,0.643,0.667,-6.992999999999999,0.152,0.0433,0.0,0.0904,0.485,145.999,217404,kpop,4
BTS,We are Bulletproof : the Eternal,79,44WLOqH7QayQOQdeUHeKUK,spotify:track:44WLOqH7QayQOQdeUHeKUK,0.526,0.575,-5.215,0.0309,0.225,0.0,0.10800000000000001,0.19,84.04700000000001,261543,kpop,4
BTS,00:00 (Zero O’Clock),79,4AlihYDqxXshKhvh5tnMfP,spotify:track:4AlihYDqxXshKhvh5tnMfP,0.5660000000000001,0.5479999999999999,-6.456,0.0579,0.0802,0.0,0.11,0.196,157.999,250296,kpop,4
BTS,Inner Child,78,4BKOjYosPhw334moS3wlbO,spotify:track:4BKOjYosPhw334moS3wlbO,0.589,0.696,-7.981,0.0725,0.017,0.0,0.0808,0.332,134.953,233266,kpop,4
BLACKPINK,Kill This Love,78,18PergoIrGmRyeYxnaXJN2,spotify:track:18PergoIrGmRyeYxnaXJN2,0.738,0.861,-4.141,0.237,0.32,0.00175,0.325,0.58,131.974,189052,kpop,4
BTS,Black Swan,80,24NuEDgyRIljwSyY0lsr7b,spotify:track:24NuEDgyRIljwSyY0lsr7b,0.7190000000000001,0.758,-5.167000000000001,0.0851,0.13699999999999998,0.0,0.129,0.49,147.023,198261,kpop,4
BTS,Friends,78,7w05lsU2VLSeiT8Nukrv5M,spotify:track:7w05lsU2VLSeiT8Nukrv5M,0.55,0.747,-5.211,0.0407,0.0668,0.0,0.0536,0.648,79.98,199339,kpop,4
BTS,Black Swan,78,3bkkMZEAhx7rTVz1C0itRQ,spotify:track:3bkkMZEAhx7rTVz1C0itRQ,0.7190000000000001,0.758,-5.167000000000001,0.0851,0.13699999999999998,0.0,0.129,0.49,147.023,198261,kpop,4
BTS,Make It Right (feat. Lauv),78,314ZkcV7oLWG8yWE7LABvH,spotify:track:314ZkcV7oLWG8yWE7LABvH,0.584,0.685,-7.811,0.425,0.0304,0.0,0.18899999999999997,0.345,97.551,226321,kpop,4
Red Velvet,Psycho,82,3CYH422oy1cZNoo0GTG1TK,spotify:track:3CYH422oy1cZNoo0GTG1TK,0.664,0.6659999999999999,-2.2030000000000003,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,kpop,4
BTS,Moon,77,1xfXXujIlLZAx5wpu46Nyk,spotify:track:1xfXXujIlLZAx5wpu46Nyk,0.703,0.6459999999999999,-6.6579999999999995,0.0596,0.0104,0.0,0.191,0.64,141.87,208590,kpop,4
BTS,Interlude : Shadow,77,2Nib4r0saYQf2pUV4RFDhl,spotify:track:2Nib4r0saYQf2pUV4RFDhl,0.385,0.7979999999999999,-6.439,0.483,0.115,0.0,0.18100000000000002,0.141,149.756,259821,kpop,4
BTS,Outro : Ego,77,3r9FFjLrAIQjoR8pSHVPC9,spotify:track:3r9FFjLrAIQjoR8pSHVPC9,0.8079999999999999,0.903,-3.1060000000000003,0.0958,0.0121,0.000233,0.0993,0.473,116.988,196199,kpop,4
BTS,Euphoria,77,3p6hnejEQYXkiTO1lAzVc0,spotify:track:3p6hnejEQYXkiTO1lAzVc0,0.637,0.799,-4.519,0.0338,0.39399999999999996,0.0,0.0921,0.562,104.995,228615,kpop,4
BLACKPINK,DDU-DU DDU-DU,75,2aI2k39nfa3KFsa4JclQzw,spotify:track:2aI2k39nfa3KFsa4JclQzw,0.6709999999999999,0.8590000000000001,-3.9219999999999997,0.0833,0.0323,0.0,0.267,0.389,139.931,209355,kpop,4
(G)I-DLE,Oh my god,79,2DmRXiyn03tOqKgEJXlaiJ,spotify:track:2DmRXiyn03tOqKgEJXlaiJ,0.794,0.762,-3.525,0.0392,0.0358,1.41e-06,0.191,0.48200000000000004,109.97,195867,kpop,4
TWICE,Feel Special,77,2HtcPHFdo7eu4Ilbvb0BVI,spotify:track:2HtcPHFdo7eu4Ilbvb0BVI,0.7090000000000001,0.9590000000000001,-1.339,0.0603,0.0296,0.0018800000000000002,0.107,0.644,128.983,206867,kpop,4
TWICE,FANCY,77,0W5hTAWn8Tq0Qfhg1XP3YW,spotify:track:0W5hTAWn8Tq0Qfhg1XP3YW,0.6970000000000001,0.8740000000000001,-2.15,0.045,0.0122,0.0,0.627,0.775,132.02200000000002,213880,kpop,4
BTS,Respect,74,37TSJmYKLxXmx8OehFpqMN,spotify:track:37TSJmYKLxXmx8OehFpqMN,0.6609999999999999,0.84,-4.805,0.11599999999999999,0.00485,0.0,0.287,0.524,91.45700000000001,237540,kpop,4
Mamamoo,HIP,77,24nK8tW7Pt3Inh2utttuoG,spotify:track:24nK8tW7Pt3Inh2utttuoG,0.782,0.731,-4.581,0.14300000000000002,0.0376,3.15e-05,0.0956,0.8240000000000001,138.032,195307,kpop,4
EVERGLOW,DUN DUN,78,3CyCjgTHFzqucmECajq8QA,spotify:track:3CyCjgTHFzqucmECajq8QA,0.6920000000000001,0.8809999999999999,-2.563,0.0461,0.0457,4.26e-06,0.146,0.433,103.055,192280,kpop,4
ZICO,Any song,80,1iIhGHzzrzqQfuNkFI2qAn,spotify:track:1iIhGHzzrzqQfuNkFI2qAn,0.8740000000000001,0.787,-2.416,0.129,0.11800000000000001,0.0,0.11,0.8959999999999999,108.007,227227,kpop,4
BTS,Spring Day,75,0WNGsQ1oAuHzNTk8jivBKW,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,0.539,0.846,-3.1919999999999997,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,274097,kpop,4
BTS,Serendipity (Full Length Edition),73,5cQB9fbuQCz4muQUFkv3rR,spotify:track:5cQB9fbuQCz4muQUFkv3rR,0.34700000000000003,0.578,-7.525,0.0626,0.445,0.0,0.231,0.226,86.73,276708,kpop,4
NCT 127,Kick It,72,1ayaOin9hxCtyhg4UsBTpg,spotify:track:1ayaOin9hxCtyhg4UsBTpg,0.6809999999999999,0.847,-2.4619999999999997,0.0869,0.0306,0.0,0.0808,0.507,167.03099999999998,233013,kpop,4
BTS,Blood Sweat & Tears,75,5RGf8qn1TBWVplLyyKUsuV,spotify:track:5RGf8qn1TBWVplLyyKUsuV,0.583,0.885,-3.571,0.106,0.0244,0.0,0.35700000000000004,0.601,92.959,217052,kpop,4
GOT7,NOT BY THE MOON,76,1pmfd0ohjfh1qXPWvjaC1o,spotify:track:1pmfd0ohjfh1qXPWvjaC1o,0.5489999999999999,0.813,-4.828,0.14800000000000002,0.0556,4.44e-06,0.207,0.544,151.813,204702,kpop,4
BTS,IDOL,75,2AIWoHr9DF6y4KALCBKWQS,spotify:track:2AIWoHr9DF6y4KALCBKWQS,0.7340000000000001,0.855,-3.2110000000000003,0.11800000000000001,0.00481,0.0,0.12300000000000001,0.42200000000000004,126.035,222732,kpop,4
BTS,Mikrokosmos,74,5hnbE5BF2e8BCk9OMR1UVC,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,0.58,0.858,-5.212000000000001,0.114,0.125,0.0,0.0502,0.475,174.03900000000002,224225,kpop,4
BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],75,75scDPqGs75FotglJSoOI2,spotify:track:75scDPqGs75FotglJSoOI2,0.606,0.848,-3.952,0.184,0.0114,1.06e-06,0.20600000000000002,0.54,170.01,307676,kpop,4
BTS,HOME,74,7lthOBXNue2IvedLRfkod8,spotify:track:7lthOBXNue2IvedLRfkod8,0.633,0.799,-4.625,0.0429,0.0142,0.0,0.19399999999999998,0.535,142.991,234178,kpop,4
K/DA,POP/STARS,75,5sbooPcNgIE22DwO0VNGUJ,spotify:track:5sbooPcNgIE22DwO0VNGUJ,0.5660000000000001,0.769,-4.342,0.0872,0.0183,0.0,0.10800000000000001,0.385,170.03599999999997,191100,kpop,4
JENNIE,SOLO,72,2wVDWtLKXunswWecARNILj,spotify:track:2wVDWtLKXunswWecARNILj,0.7509999999999999,0.642,-5.165,0.087,0.0861,0.0,0.0953,0.38799999999999996,95.045,169567,kpop,4
BTS,FAKE LOVE,74,3aW0ds4A4tSQDIp75FqWTo,spotify:track:3aW0ds4A4tSQDIp75FqWTo,0.557,0.7190000000000001,-4.515,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,kpop,4
Apink,Dumhdurum,71,55kuHkT2CWhWKF6CoRDnJq,spotify:track:55kuHkT2CWhWKF6CoRDnJq,0.653,0.9229999999999999,-2.1630000000000003,0.0621,0.145,0.0,0.13699999999999998,0.6920000000000001,114.902,208053,kpop,4
EXO,Obsession,74,7fK0csBoqbcgUuWGV0cpoD,spotify:track:7fK0csBoqbcgUuWGV0cpoD,0.7040000000000001,0.7290000000000001,-3.8510000000000004,0.0624,0.0024,0.0,0.218,0.71,129.99200000000002,203520,kpop,4
BTS,Pied Piper,73,0ffweDHrg4bZqdG4IfGYuo,spotify:track:0ffweDHrg4bZqdG4IfGYuo,0.583,0.7120000000000001,-4.942,0.0326,0.2,0.0,0.268,0.7759999999999999,94.051,245621,kpop,4
ITZY,달라달라 (DALLA DALLA),75,0GU5GuJQQEnnREO2FxnVPT,spotify:track:0GU5GuJQQEnnREO2FxnVPT,0.79,0.853,-4.564,0.0665,0.00116,4.23e-05,0.32899999999999996,0.713,124.99799999999999,199874,kpop,4
iKON,LOVE SCENARIO,74,6qAzAmPBUpGrk7XADZHR5k,spotify:track:6qAzAmPBUpGrk7XADZHR5k,0.8059999999999999,0.7070000000000001,-4.623,0.0307,0.331,0.0,0.294,0.746,118.01100000000001,209648,kpop,4
BTS,Save Me,73,54s6sdPuMjVtdB5d5KFzTC,spotify:track:54s6sdPuMjVtdB5d5KFzTC,0.614,0.823,-3.48,0.062,0.0269,0.0,0.0783,0.539,139.94799999999998,196506,kpop,4
BLACKPINK,As If It's Your Last,75,1Zyd6zQnC6XIIzmg3hP7Ot,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot,0.7859999999999999,0.853,-2.687,0.0816,0.0688,0.0,0.0759,0.45,125.03399999999999,213264,kpop,4
BTS,Lie,71,2cn8rNlgnQOJoqWqXRvWQu,spotify:track:2cn8rNlgnQOJoqWqXRvWQu,0.542,0.777,-5.582000000000001,0.033,0.00331,0.0,0.17800000000000002,0.503,94.069,215753,kpop,4
BTS,Burning Up (Fire),73,4z9gBZQjGS4QLb4LOvmeuA,spotify:track:4z9gBZQjGS4QLb4LOvmeuA,0.627,0.706,-3.201,0.0597,0.00227,0.0,0.122,0.536,99.93,203352,kpop,4
j-hope,Chicken Noodle Soup (feat. Becky G),73,6wyr4ReB05D9sJB1Rsmcqo,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,0.826,0.8170000000000001,-4.081,0.0921,0.00502,1.09e-05,0.294,0.168,97.053,235497,kpop,4
BTS,DNA,72,5SE57ljOIUJ1ybL9U6CuBH,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,0.598,0.775,-4.035,0.0545,0.022000000000000002,0.0,0.0677,0.687,129.819,223123,kpop,4
BTS,My Time,81,4vTgx6h4seHvkuFh84JXYP,spotify:track:4vTgx6h4seHvkuFh84JXYP,0.674,0.64,-5.138999999999999,0.0339,0.151,0.0,0.0925,0.664,99.90799999999999,234458,kpop,4
BTS,ON (Feat. Sia),81,3IB5qOeMayvpOdHxYCL5tZ,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,0.591,0.848,-4.397,0.0828,0.13699999999999998,0.0,0.37200000000000005,0.386,105.92200000000001,246816,kpop,4
ITZY,WANNABE,85,6tCssnvTUREcperDOUTqvA,spotify:track:6tCssnvTUREcperDOUTqvA,0.809,0.9109999999999999,-4.41,0.0617,0.00795,0.00017900000000000001,0.18100000000000002,0.64,122.035,191242,kpop,4
BTS,UGH!,79,1aKuG1GG76xPLUkjBbQo3W,spotify:track:1aKuG1GG76xPLUkjBbQo3W,0.72,0.8240000000000001,-5.086,0.128,0.0394,0.0,0.0509,0.33299999999999996,165.998,225012,kpop,4
BTS,Louder than bombs,79,3op7HNwLli54MBjFGzIlZO,spotify:track:3op7HNwLli54MBjFGzIlZO,0.643,0.667,-6.992999999999999,0.152,0.0433,0.0,0.0904,0.485,145.999,217404,kpop,4
